ID;session;trial;response;outcome;mean;sd
20;2;31;32;47;40;5
20;2;32;42;42;40;5
20;2;33;41;51;40;5
20;2;34;45;38;40;5
20;2;35;46;39;40;5
20;2;36;40;40;40;5
20;2;37;39;39;40;5
20;2;38;40;34;40;5
20;2;39;29;76;54;15
20;2;40;34;51;54;15
20;2;41;51;67;54;15
20;2;42;66;27;54;15
20;2;43;41;56;54;15
20;2;44;48;49;54;15
20;2;45;50;59;54;15
20;2;46;58;63;54;15
20;2;47;55;96;90;15
20;2;48;68;100;90;15
20;2;49;98;100;90;15
20;2;50;99;90;90;15
20;2;51;96;80;90;15
20;2;52;93;100;90;15
20;2;53;92;88;90;15
20;2;54;97;52;52;5
20;2;55;27;57;52;5
20;2;56;76;45;52;5
20;2;57;37;48;52;5
20;2;58;47;58;52;5
20;2;59;58;67;58;15
20;2;60;60;44;58;15
20;2;61;62;63;58;15
20;2;62;60;66;58;15
20;2;63;66;41;58;15
20;2;64;45;47;58;15
20;2;65;41;65;58;15
20;2;66;41;64;58;15
20;2;67;66;44;58;15
20;2;68;66;50;58;15
20;2;69;57;51;58;15
20;2;70;56;63;58;15
20;2;71;61;86;58;15
20;2;72;67;39;58;15
20;2;73;74;53;58;15
20;2;74;61;94;58;15
20;2;75;77;60;58;15
20;2;76;65;49;58;15
20;2;77;57;36;23;15
20;2;78;38;1;23;15
20;2;79;62;19;23;15
20;2;80;22;17;23;15
20;2;81;13;15;23;15
20;2;82;13;37;23;15
20;2;83;27;67;56;15
20;2;84;63;64;56;15
20;2;85;62;35;56;15
20;2;86;28;79;56;15
20;2;87;75;34;56;15
20;2;88;75;29;26;5
20;2;89;30;33;26;5
20;2;90;30;24;26;5
20;2;91;27;28;26;5
20;2;92;29;17;26;5
20;2;93;25;26;26;5
20;2;94;18;21;26;5
20;2;95;19;41;51;15
20;2;96;42;82;51;15
20;2;97;83;68;51;15
20;2;98;74;51;51;15
20;2;99;53;60;51;15
20;2;100;67;83;51;15
20;2;101;81;52;51;15
20;2;102;79;29;51;15
20;2;103;33;40;51;15
20;2;104;42;60;51;15
20;2;105;58;39;51;15
20;2;106;30;38;51;15
20;2;107;41;31;51;15
20;2;108;29;57;51;15
20;2;109;50;78;51;15
20;2;110;75;24;51;15
20;2;111;45;47;51;15
20;2;112;8;62;51;15
20;2;113;61;95;51;15
20;2;114;78;31;51;15
20;2;115;40;37;51;15
20;2;116;37;21;51;15
20;2;117;18;65;51;15
20;2;118;68;67;51;15
20;2;119;69;17;51;15
20;2;120;44;64;51;15
20;2;121;11;43;51;15
20;2;122;27;28;51;15
20;2;123;35;52;51;15
20;2;124;41;63;51;15
20;2;125;67;56;51;15
20;2;126;60;59;51;15
20;2;127;59;41;39;15
20;2;128;40;48;39;15
20;2;129;51;34;39;15
20;2;130;35;84;68;15
20;2;131;43;71;68;15
20;2;132;71;78;68;15
20;2;133;18;55;59;5
20;2;134;73;58;59;5
20;2;135;66;48;59;5
20;2;136;61;51;59;5
20;2;137;58;66;59;5
20;2;138;62;63;59;5
20;2;139;64;62;59;5
20;2;140;61;62;59;5
20;2;141;64;57;59;5
20;2;142;56;58;59;5
20;2;143;63;59;59;5
20;2;144;65;61;59;5
20;2;145;64;75;69;15
20;2;146;65;66;69;15
20;2;147;73;90;69;15
20;2;148;67;78;69;15
20;2;149;85;93;69;15
20;2;150;90;70;69;15
20;2;151;81;100;69;15
20;2;152;93;75;69;15
20;2;153;76;59;69;15
20;2;154;94;85;69;15
20;2;155;62;69;69;15
20;2;156;79;42;50;15
20;2;157;79;50;50;15
20;2;158;51;74;50;15
20;2;159;77;75;50;15
20;2;160;76;54;50;15
20;2;161;68;62;50;15
20;2;162;65;51;50;15
20;2;163;63;34;50;15
20;2;164;36;62;50;15
20;2;165;60;75;50;15
20;2;166;77;49;50;15
20;2;167;44;51;50;15
20;2;168;52;67;50;15
20;2;169;65;76;62;15
20;2;170;76;55;62;15
20;2;171;73;65;62;15
20;2;172;74;56;62;15
20;2;173;59;63;62;15
20;2;174;63;23;62;15
20;2;175;21;84;62;15
20;2;176;17;91;62;15
20;2;177;93;40;62;15
20;2;178;90;94;62;15
20;2;179;92;60;62;15
20;2;180;93;55;62;15
20;2;181;62;56;62;15
20;2;182;62;87;62;15
20;2;183;64;72;62;15
20;2;184;68;52;62;15
20;2;185;51;58;62;15
